ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,,,,,,,,,StartDate,EndDate,Status
597,BK-M18B-42,1,LB ,CM ,Mountain-500 Black 42,Montaña: 500 negra 42,VTT 500 noir 42,294.5797,TRUE,Black,100,75,539.99,42,42-46 CM,27.77,4,M ,323.994,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
566,BK-T18U-58,3,LB ,CM ,Touring-3000 Blue 58,Paseo: 3000 azul 58,Vélo de randonnée 3000 bleu 58,461.4448,TRUE,Blue,100,75,742.35,58,54-58 CM,29.9,4,T ,445.41,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
574,BK-T79U-50,3,LB ,CM ,Touring-1000 Blue 50,Paseo: 1000 azul 50,Vélo de randonnée 1000 bleu 50,1481.9379,TRUE,Blue,100,75,2384.07,50,48-52 CM,25.42,4,T ,1430.442,H ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
593,BK-M18S-44,1,LB ,CM ,Mountain-500 Silver 44,Montaña: 500 plateada 44,VTT 500 argent 44,308.2179,TRUE,Silver,100,75,564.99,44,42-46 CM,28.13,4,M ,338.994,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
589,BK-M38S-42,1,LB ,CM ,Mountain-400-W Silver 42,Montaña: 400 para mujer plateada 42,VTT 400 -W argent 42,419.7784,TRUE,Silver,100,75,769.49,42,42-46 CM,27.13,4,M ,461.694,M ,W ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
543,PD-M340,13,G  ,,ML Mountain Pedal,Pedal de montaña GM,Pédale de VTT ML,27.568,TRUE,Silver/Black,500,375,62.09,,NA,215,1,M ,37.254,M ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
556,CS-4759,8,G  ,,LL Crankset,Bielas GB,Pédalier LL,77.9176,TRUE,Black,500,375,175.49,,NA,600,1,,105.294,L ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
76,HN-9168,,,,Hex Nut 19,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
5,BL-2036,,,,Blade,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
2,BA-8327,,,,Bearing Ball,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
30,FW-9160,,,,Flat Washer 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
60,HN-1428,,,,Hex Nut 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
32,FC-3982,,,,Front Derailleur Cage,,,,FALSE,Silver,800,600,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
576,BK-T79U-60,3,LB ,CM ,Touring-1000 Blue 60,Paseo: 1000 azul 60,Vélo de randonnée 1000 bleu 60,1481.9379,TRUE,Blue,100,75,2384.07,60,60-62 CM,25.9,4,T ,1430.442,H ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
592,BK-M18S-42,1,LB ,CM ,Mountain-500 Silver 42,Montaña: 500 plateada 42,VTT 500 argent 42,308.2179,TRUE,Silver,100,75,564.99,42,42-46 CM,27.77,4,M ,338.994,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
579,BK-T44U-54,3,LB ,CM ,Touring-2000 Blue 54,Paseo: 2000 azul 54,Vélo de randonnée 2000 bleu 54,755.1508,TRUE,Blue,100,75,1214.85,54,54-58 CM,27.68,4,T ,728.91,M ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
127,LN-3824,,,,Lock Nut 13,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
14,DC-8732,,,,Decal 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
41,HJ-1428,,,,Thin-Jam Hex Nut 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
261,FR-R38B-62,14,LB ,CM ,LL Road Frame - Black 62,Cuadro de carretera GB: negro 62,Cadre de vélo de route LL - noir 62,204.6251,TRUE,Black,500,375,337.22,62,60-62 CM,2.5,1,R ,202.332,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
117,LN-1024,,,,Lock Nut 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
28,FW-5800,,,,Flat Washer 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
150,LW-5800,,,,Lock Washer 12,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
64,HN-3824,,,,Hex Nut 13,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
549,FR-M63S-38,12,LB ,CM ,ML Mountain Frame-W - Silver 38,,,199.3757,TRUE,Silver,500,375,364.09,38,38-40 CM,2.73,2,M ,218.454,M ,W ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
537,TI-M823,37,,,HL Mountain Tire,Cubierta de montaña GA,Pneu de VTT HL,13.09,TRUE,NA,500,375,35,,NA,,0,M ,21,H ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
535,TI-M267,37,,,LL Mountain Tire,Cubierta de montaña GB,Pneu de VTT LL,9.3463,TRUE,NA,500,375,24.99,,NA,,0,M ,14.994,L ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
31,FC-3654,,,,Fork Crown,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
577,BK-T44U-46,3,LB ,CM ,Touring-2000 Blue 46,Paseo: 2000 azul 46,Vélo de randonnée 2000 bleu 46,755.1508,TRUE,Blue,100,75,1214.85,46,42-46 CM,27.13,4,T ,728.91,M ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
453,SH-M897-M,22,,,Men's Sports Shorts M,Pantalones cortos de deporte para hombre M,Cuissards de route pour hommes taille M,24.7459,TRUE,Black,4,3,59.99,M,M,,0,S ,35.994,,M ,,,,,,,,,,,2002-07-01T00:00:00.000+0000,2003-06-30T00:00:00.000+0000,
580,BK-R79Y-40,2,LB ,CM ,Road-350-W Yellow 40,Carretera: 350 para mujer amarilla 40,Vélo de route 350 -W - jaune 40,1082.51,TRUE,Yellow,100,75,1700.99,40,38-40 CM,15.35,4,R ,1020.594,M ,W ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
599,BK-M18B-48,1,LB ,CM ,Mountain-500 Black 48,Montaña: 500 negra 48,VTT 500 noir 48,294.5797,TRUE,Black,100,75,539.99,48,48-52 CM,28.42,4,M ,323.994,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
573,BK-T79U-46,3,LB ,CM ,Touring-1000 Blue 46,Paseo: 1000 azul 46,Vélo de randonnée 1000 bleu 46,1481.9379,TRUE,Blue,100,75,2384.07,46,42-46 CM,25.13,4,T ,1430.442,H ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
606,BK-R19B-52,2,LB ,CM ,Road-750 Black 52,Carretera: 750 negra 52,Vélo de route 750 noir 52,343.6496,TRUE,Black,100,75,539.99,52,48-52 CM,20.42,4,R ,323.994,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
550,FR-M21B-40,12,LB ,CM ,LL Mountain Frame - Black 40,,,136.785,TRUE,Black,500,375,249.79,40,38-40 CM,2.88,2,M ,149.874,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
7,CA-6738,,,,ML Crankarm,,,,FALSE,Black,500,375,,,NA,,0,,,M ,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
9,CB-2903,,,,Chainring Bolts,,,,FALSE,Silver,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
22,FW-1000,,,,Flat Washer 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
59,HN-1420,,,,Hex Nut 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
565,BK-T18U-54,3,LB ,CM ,Touring-3000 Blue 54,Paseo: 3000 azul 54,Vélo de randonnée 3000 bleu 54,461.4448,TRUE,Blue,100,75,742.35,54,54-58 CM,29.68,4,T ,445.41,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
72,HN-7161,,,,Hex Nut 14,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
51,HJ-7162,,,,Thin-Jam Hex Nut 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
12,CR-9981,,,,Crown Race,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
551,FR-M21S-40,12,LB ,CM ,LL Mountain Frame - Silver 40,,,144.5938,TRUE,Silver,500,375,264.05,40,38-40 CM,2.88,2,M ,158.43,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
302,FR-M94B-46,12,LB ,CM ,HL Mountain Frame - Black 46,,,653.6971,TRUE,Black,500,375,1226.9091,46,42-46 CM,2.84,1,M ,736.1455,H ,U ,,,,,,,,,,,2002-07-01T00:00:00.000+0000,2003-06-30T00:00:00.000+0000,
572,BK-T18Y-62,3,LB ,CM ,Touring-3000 Yellow 62,Paseo: 3000 amarilla 62,Vélo de randonnée 3000 jaune 62,461.4448,TRUE,Yellow,100,75,742.35,62,60-62 CM,30,4,T ,445.41,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
568,BK-T18Y-44,3,LB ,CM ,Touring-3000 Yellow 44,Paseo: 3000 amarilla 44,Vélo de randonnée 3000 jaune 44,461.4448,TRUE,Yellow,100,75,742.35,44,42-46 CM,28.77,4,T ,445.41,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
557,CS-6583,8,G  ,,ML Crankset,Bielas GM,Pédalier ML,113.8816,TRUE,Black,500,375,256.49,,NA,635,1,,153.894,M ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
182,RM-M823,,G  ,,HL Mountain Rim,,,,FALSE,NA,800,600,,,NA,400,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
297,FR-M94B-42,12,LB ,CM ,HL Mountain Frame - Black 42,,,653.6971,TRUE,Black,500,375,1226.9091,42,42-46 CM,2.72,1,M ,736.1455,H ,U ,,,,,,,,,,,2002-07-01T00:00:00.000+0000,2003-06-30T00:00:00.000+0000,
